教室名,階,既存机数,既存椅子数,角部屋,中庭隣接
国語1,1,42,2,FALSE,FALSE
国語2,1,42,2,FALSE,FALSE
国語3,1,42,2,FALSE,FALSE
国語4,1,42,2,FALSE,FALSE
国語5,1,42,42,TRUE,FALSE
国語6,1,42,3,FALSE,FALSE
国語7,1,42,42,FALSE,TRUE
社会1,1,42,2,FALSE,FALSE
社会2,1,42,2,FALSE,FALSE
社会3,1,42,2,TRUE,FALSE
社会4,1,42,3,FALSE,FALSE
社会5,1,42,3,FALSE,FALSE
社会6,1,42,6,FALSE,TRUE
社会7,1,42,5,FALSE,TRUE
数学1,2,42,42,FALSE,FALSE
数学2,2,42,2,FALSE,FALSE
数学3,2,42,2,FALSE,FALSE
数学4,2,42,2,FALSE,FALSE
数学5,2,42,3,FALSE,FALSE
数学6,2,42,7,FALSE,FALSE
数学7,2,42,2,FALSE,FALSE
数学8,2,42,2,FALSE,FALSE
数学9,2,42,2,FALSE,FALSE
理科1,2,41,41,FALSE,FALSE
理科2,2,42,42,FALSE,FALSE
英語1,3,42,43,FALSE,FALSE
英語2,3,42,42,FALSE,FALSE
英語3,3,42,42,FALSE,FALSE
英語4,3,42,42,FALSE,FALSE
英語5,3,42,3,FALSE,FALSE
英語6,3,42,3,FALSE,FALSE
英語7,3,42,2,FALSE,FALSE
英語8,3,42,2,FALSE,FALSE